file,family,actual_format,kind,expected,screenshot,notes
01_jpeg.jpg,JPEG,JPEG,decode,pass,1,
02_jpeg.jpeg,JPEG,JPEG,decode,pass,0,
03_jpeg.jpe,JPEG,JPEG,decode,pass,0,
04_jpeg.jfif,JPEG,JPEG,decode,pass,0,
05_jpeg.jif,JPEG,JPEG,decode,pass,0,
06_jpeg.jfi,JPEG,JPEG,decode,pass,0,
10_png.png,PNG,PNG,decode,pass,1,
11_apng.apng,PNG/APNG,APNG,decode,pass,1,
12_bitmap.bmp,BMP,BMP,decode,pass,1,
13_bitmap.dib,BMP,DIB,decode,pass,1,
14_bitmap_alias.rle,BMP,BMP bytes / .rle alias,decode,pass,1,Extension-routing alias; not RLE-compressed BMP
15_tiff.tif,TIFF,TIFF,decode,pass,1,
16_tiff.tiff,TIFF,TIFF,decode,pass,0,
17_tiff.btf,TIFF,TIFF,decode,pass,0,
18_gif.gif,GIF,GIF,decode,pass,1,
19_icon.ico,Icon,ICO,decode,pass,1,
20_cursor.cur,Icon,CUR,decode,pass,1,
21_webp.webp,WebP,WEBP,decode,pass,1,
22_webp_animated.webp,WebP,Animated WebP,decode,pass,1,
23_avif.avif,AVIF,AVIF,decode,pass,1,
24_avif_alias.avifs,AVIF,AVIF,decode,pass,0,
25_jp2.jp2,JPEG 2000,JP2 container,decode,codec-dependent,1,
26_j2k.j2k,JPEG 2000,J2K codestream,decode,codec-dependent,1,
27_jp2_alias.j2c,JPEG 2000,J2K codestream / .j2c alias,decode,codec-dependent,0,
28_jp2_alias.jpc,JPEG 2000,J2K codestream / .jpc alias,decode,codec-dependent,0,
29_jp2_alias.jpx,JPEG 2000,JP2 container / .jpx alias,decode,codec-dependent,0,
30_jp2_alias.jpf,JPEG 2000,JP2 container / .jpf alias,decode,codec-dependent,0,
31_psd.psd,PSD,PSD composite,decode,pass,1,
32_tga.tga,TGA,TGA,decode,pass,1,
33_tga.targa,TGA,TGA,decode,pass,0,
34_tga.icb,TGA,TGA,decode,pass,0,
35_tga.vda,TGA,TGA,decode,pass,0,
36_tga.vst,TGA,TGA,decode,pass,0,
37_ppm.ppm,PNM,PPM P6,decode,pass,1,
38_pgm.pgm,PNM,PGM P5,decode,pass,1,
39_pbm.pbm,PNM,PBM P4,decode,pass,1,
40_pnm.pnm,PNM,PNM P3 ASCII,decode,pass,1,
41_pam.pam,PNM,PAM P7 RGBA,decode,pass,1,
42_pcx.pcx,PCX,PCX,decode,pass,1,
43_qoi.qoi,QOI,QOI,decode,pass,1,
44_farbfeld.ff,Farbfeld,farbfeld,decode,pass,1,
45_hdr.hdr,Radiance HDR,RGBE,decode,pass,1,
46_rgbe.rgbe,Radiance HDR,RGBE alias,decode,pass,0,
47_xyze.xyze,Radiance HDR,XYZE,decode,pass,1,
48_exr.exr,OpenEXR,EXR,decode,codec-dependent,1,
49_jxl.jxl,JPEG XL,JXL,decode,codec-dependent,1,
50_dds_bc1.dds,DDS,BC1/DXT1,decode,pass,1,
51_dds_bc2.dds,DDS,BC2/DXT3,decode,pass,1,
52_dds_bc3.dds,DDS,BC3/DXT5,decode,pass,1,
53_dds_bc4.dds,DDS,BC4,decode,pass,1,
54_dds_bc5.dds,DDS,BC5,decode,pass,1,
